Id,SalePrice
1461,123143.66729016254
1462,163157.24757279453
1463,178071.61841565467
1464,185383.06698278326
1465,193132.99276748637
1466,179821.21792575275
1467,175477.2019960541
1468,171982.83363403537
1469,177559.70594452386
1470,121489.28079095193
1471,202867.1536069209
1472,92014.30428884483
1473,93029.98757207757
1474,149349.008729613
1475,109144.77543838287
1476,350371.1904019583
1477,251386.92533495484
1478,281063.2891517398
1479,276248.49647082103
1480,574707.5503181672
1481,323839.58109709463
1482,206079.31518619962
1483,178915.36771581968
1484,167283.10356307274
1485,177458.79102067393
1486,195807.3631447546
1487,281567.2801226482
1488,230145.8605612753
1489,197403.01467442437
1490,237769.9895109099
1491,195001.57035717723
1492,99428.71948737126
1493,175828.3022232073
1494,299330.1034806858
1495,293415.8106257097
1496,234805.5734513142
1497,179293.10874238343
1498,154290.26220678526
1499,155952.57176914703
1500,155005.61696586906
1501,174282.7912273809
1502,153595.6635735505
1503,279414.12752305524
1504,232164.4870995769
1505,229393.3701944731
1506,180773.39741998832
1507,280434.0813015483
1508,200936.00007129906
1509,162587.32839364375
1510,152153.14708916194
1511,151368.11859931468
1512,173199.49539395818
1513,140098.4019394547
1514,158459.2255166354
1515,183906.6480657939
1516,151291.66880430773
1517,157053.66345195496
1518,129255.49075075069
1519,224001.84344200286
1520,135934.8290071266
1521,138144.02467397202
1522,169189.89086212445
1523,114304.1362566656
1524,117982.96447267452
1525,122520.54963846614
1526,123264.2174331554
1527,105831.9313488178
1528,129504.81597694471
1529,148215.5876927421
1530,169441.90985409316
1531,108559.24257766554
1532,100763.42405068983
1533,150570.31916473975
1534,122786.9775484244
1535,142094.54941256484
1536,104418.36888805394
1537,65464.068742365176
1538,139365.2597983657
1539,184908.45283465864
1540,101640.50839410438
1541,138815.63059998784
1542,142856.3861470832
1543,198089.25819559343
1544,82673.58756908389
1545,97812.60165530458
1546,126075.89333591652
1547,136128.14247735587
1548,125301.180458575
1549,117740.10218003299
1550,138196.3702857567
1551,106302.01382726275
1552,140447.59616225646
1553,142266.6135370775
1554,117855.01106975913
1555,167856.21903097353
1556,93264.80535978344
1557,106865.71849716842
1558,82297.82165405565
1559,66421.0011715375
1560,130608.75192391784
1561,139357.31485642388
1562,131202.8957337929
1563,118468.67671382659
1564,159150.47442963993
1565,146310.31064612142
1566,233288.56038685635
1567,74947.5073369449
1568,243887.80412985905
1569,140620.74242306463
1570,134988.5973882262
1571,122912.61843908358
1572,142854.99479592967
1573,238000.0997445859
1574,117019.3508554231
1575,213748.30726336906
1576,243690.3996672223
1577,196185.08161767898
1578,146651.15017349378
1579,138661.8611980946
1580,186338.81697302219
1581,144458.38127367376
1582,131971.04156073206
1583,337663.12807295675
1584,231209.18136799088
1585,142265.76270223866
1586,74950.82806027125
1587,94615.49540625559
1588,148202.31939114546
1589,97528.89894382536
1590,137850.2944579536
1591,99988.76079431787
1592,127435.69731808006
1593,120390.92821441586
1594,115374.66100125166
1595,119889.81827383724
1596,237179.230488896
1597,185092.90830323703
1598,190099.89196938413
1599,161414.18753385724
1600,169941.4974561219
1601,78357.53796753168
1602,119096.71144640326
1603,67004.03511112738
1604,278702.9436691187
1605,241781.3284642845
1606,167335.4876708633
1607,159876.18541726688
1608,218498.43732244123
1609,184015.43352486214
1610,154541.20953400608
1611,142213.34277303724
1612,179821.21792575275
1613,169839.82404542132
1614,114028.71020373715
1615,87381.27887800575
1616,76206.16295727028
1617,87016.8878490139
1618,125227.45980888652
1619,138367.0299345759
1620,169172.2631209282
1621,141350.4588364329
1622,140678.8343544161
1623,258535.867958548
1624,225488.21990461976
